ZIP,RegionID,SizeRank,RegionType,StateName,State,City,Metro,CountyName,home_value
20685,66552,13875,zip,MD,MD,Saint Leonard,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Calvert County,382531.96
20687,66554,24699,zip,MD,MD,Scotland,"California-Lexington Park, MD",Saint Marys County,323521.45
20688,66555,21083,zip,MD,MD,Solomons,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Calvert County,395740.03
20689,66556,16297,zip,MD,MD,Sunderland,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Calvert County,502539.95
20690,66557,24287,zip,MD,MD,Tall Timbers,"California-Lexington Park, MD",Saint Marys County,428605.45
20692,66558,22091,zip,MD,MD,Valley Lee,"California-Lexington Park, MD",Saint Marys County,409757.86
20693,66559,20004,zip,MD,MD,Welcome,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Charles County,435953.31
20695,66560,9521,zip,MD,MD,Waldorf,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Charles County,424126.53
20705,66565,3251,zip,MD,MD,Beltsville,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,396638.15
20706,66566,1184,zip,MD,MD,Lanham Seabrook,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,393462.01
20707,66567,2365,zip,MD,MD,Laurel,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,368159.71
20708,66568,3932,zip,MD,MD,Laurel,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,415145.03
20710,66570,9713,zip,MD,MD,Bladensburg,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,299267.72
20711,66571,11336,zip,MD,MD,Lothian,"Baltimore-Columbia-Towson, MD",Anne Arundel County,543372.97
20712,66572,9853,zip,MD,MD,Mount Rainier,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,438352.93
20714,66573,19280,zip,MD,MD,North Beach,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Calvert County,333312.62
20715,66574,4394,zip,MD,MD,Bowie,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,426220.08
20716,66575,5544,zip,MD,MD,Bowie,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,404436.93
20720,66579,4736,zip,MD,MD,Bowie,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,506414.7
20721,66580,3593,zip,MD,MD,Bowie,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,514576.72
20722,66581,12194,zip,MD,MD,Cottage City,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,356559.66
20723,66582,2845,zip,MD,MD,Laurel,"Baltimore-Columbia-Towson, MD",Howard County,493783.82
