ZIP,RegionID,SizeRank,RegionType,StateName,State,City,Metro,CountyName,home_value
19142,65809,3683,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,128227.11
19143,65810,327,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,160548.39
19144,65811,1153,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,202145.07
19145,65812,1250,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,237357.99
19146,65813,1914,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,373546.34
19147,65814,2020,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,450386.0
19148,65815,924,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,241427.83
19149,65816,421,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,192064.44
19150,65817,5236,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,202875.96
19151,65818,3317,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,188079.01
19152,65819,2854,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,278253.16
19153,65820,8547,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,176045.45
19154,65821,2589,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,263017.46
19301,65851,11355,zip,PA,PA,Paoli,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County,466124.5
19310,65852,15478,zip,PA,PA,Atglen,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County,302834.34
19311,65853,9587,zip,PA,PA,Avondale,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County,446448.47
19312,65854,9006,zip,PA,PA,Berwyn,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County,691567.75
19317,65856,10011,zip,PA,PA,Chadds Ford,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,523686.53
19319,65858,26262,zip,PA,PA,Cheyney,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,530730.92
19320,65859,618,zip,PA,PA,Coatesville,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County,280000.12
19330,65860,12798,zip,PA,PA,Cochranville,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County,378651.42
