ZIP,NatWalkInd,total_weight,block_group_rows
01090,13.47461,1240.77,3
01095,5.626636,14695.674,14
01096,4.836243,300.8,6
01098,4.236892,1121.198,3
01101,15.666667,1310.506,1
01103,15.314524,1327.855,15
01104,13.668131,23619.005,37
01105,15.009235,12224.249,22
01106,10.936384,14947.541,8
01107,14.01416,11548.167,22
01108,14.676805,20228.341,23
01109,13.421931,28750.177,37
01116,7.873595,882.459,3
01118,12.102116,14596.505,21
01119,12.65698,13097.07,17
01128,7.885979,2847.807,7
01129,8.890538,6781.949,17
01138,15.44086,1578.134,3
01139,13.598688,1575.587,2
01151,13.703462,8930.354,7
01201,10.715183,42396.256,62
01202,17.57599,1603.306,4
01220,9.145395,8172,10
01222,5.794532,358.504,4
01223,5.174149,2417.423,8
01224,5.944111,120.401,3
01225,8.315943,3188.722,6
01226,9.171013,5690.638,14
01227,9.172805,635.752,7
01230,4.653411,2426.686,10
01235,5.898761,2766.338,7
01236,7.509529,344.011,5
01237,5.824297,3075.152,7
01238,9.552239,6220.242,24
01240,8.456749,5554.258,16
01245,4.157595,470.465,7
01247,9.318285,15441.884,23
01253,5.458891,119.434,3
01254,4.527055,1073.231,13
01255,5.455412,1827.77,5
01256,3.065824,777.86,2
01257,5.788832,2600.467,6
01258,5.178626,994.196,2
01259,4.613948,489.646,2
01266,7.345842,2185.695,7
01267,9.239168,8139.365,13
01270,3.978264,998.081,9
01301,9.377457,13122.293,23
01330,4.681274,1606.186,10
01331,8.066644,11675.398,11
01337,5.13748,2566.016,7
01338,9.329332,102.068,4
01339,4.604117,1647.777,8
01340,4.180726,1740.657,8
01341,4.588218,1282.007,7
01342,7.900713,1001.728,4
01343,3.324426,189.074,6
01344,4.200584,1570.509,3
01346,4.07611,120.992,4
01349,5.470636,910.141,7
01350,4.07611,72.595,4
01351,5.512464,2311.623,7
01354,5.133102,1564.989,7
01355,3.922432,1029.696,6
01360,4.420318,2999.151,5
01364,8.530098,7784.134,16
01366,7.968526,6.373,2
01367,4.006022,626.224,6
01368,6.601737,13.823,3
01370,8.457711,4150.443,18
01373,7.587311,4999.092,8
01375,6.288309,3882.606,8
01376,11.250785,5127.434,8
01378,4.200584,849.796,3
01379,4.200584,808.92,3
01380,4.200584,144.143,3
01420,11.788394,33561.035,39
01430,4.860067,6185.056,5
01431,4.841896,3212.637,4
01432,7.584878,40.265,5
01436,8.166595,19.69,3
01440,11.295462,20600.796,18
01450,6.347948,11098.286,14
01451,7.643431,82.688,8
01452,4,4629.296,2
01453,10.25262,34706.889,33
01460,7.5572,9819.158,14
01462,5.594702,11259.473,17
01463,5.203293,12452.83,16
01464,5.669248,7580.709,6
01468,4,2.541,2
01469,5.629284,7131.934,6
01473,5.330054,7699.068,12
01474,5.592632,2150.958,8
01501,9.494839,16341.026,33
01503,6.413047,3147.277,11
01504,6.650495,9229.733,5
01505,6.381652,4613.999,11
01506,6.152191,3428.609,3
01507,6.491523,12932.484,23
01508,7.412606,532.546,2
01509,7.412606,70.366,2
01510,9.181071,6254.31,13
01515,9.016288,2144.059,2
01516,5.25239,31.182,4
01518,5.5,257.38,1
01519,7.508912,6743.773,7
01520,6.079406,15520.826,18
01521,4.744881,2726.685,3
01522,5.19258,3279.143,9
01523,7.002494,7998.564,12
01524,7.214355,6739.076,11
01525,6.663307,1042.108,4
01527,8.47524,13508.571,27
01529,4.798431,3252.639,4
01531,4.585504,1685.729,7
01532,6.811147,15024.902,24
01534,6.468034,5921.876,15
01535,5.358985,4802.146,13
01536,6.959535,7349.08,7
01537,7.180019,3436.287,5
01538,7.325878,950.028,2
01540,9.224673,10267.571,17
01541,5.07387,3443,2
01542,6.244437,2782.549,13
01543,5.787953,42.348,3
01545,7.937111,11428.996,18
01550,10.704698,16861.638,16
01560,8.577753,4484.445,8
01562,8.410804,11949.293,19
01564,5.775335,8039.608,4
01566,5.510608,1406.206,6
01568,5.662805,7770.612,10
01569,6.077534,12926.7,15
01570,10.527109,17013.471,18
01571,9.914331,3477.778,16
01581,8.292812,18935.091,21
01583,8.460987,7923.583,10
01585,4.912597,8368.198,12
01586,15.388381,11.776,2
01588,9.395126,9657.3,11
01590,5.605399,9249.468,18
01601,17.747751,664.833,2
01602,12.364705,23837.409,39
01603,14.233265,19449.258,36
01604,13.290465,34488.262,39
01605,13.152867,25741.253,39
01606,12.2277,19956.909,41
01607,11.940619,9931.076,30
01608,17.173834,1730.274,10
01609,11.982261,12619.64,31
01610,14.586666,19953.828,51
01611,6.014615,2000.634,8
01612,5.787255,4845.727,11
01613,17.747751,806.502,2
01701,9.956763,22303.123,33
01702,13.247331,26508.432,19
01703,14.423494,897.667,4
01704,13.195003,766.252,2
01719,6.228599,5777.247,3
01720,7.255017,16825.006,30
01721,6.756345,2613.831,12
01730,12.623918,6662.227,18
01731,13.969296,42.134,10
01740,6.088359,5171.663,4
01741,5.358015,5181.763,2
01742,9.082646,19290.48,13
01745,10.36105,338.484,3
01746,6.893139,14436.638,11
01747,6.166308,5978.185,11
01748,5.221723,5565.605,6
01749,9.520609,19863.851,21
01752,8.681806,31920.532,19
01754,7.61506,10599.579,11
01756,6.355315,6073.71,15
01757,12.347493,14013.362,16
01760,10.191479,36004.043,35
01770,5.924552,4224.196,3
01772,9.012067,9764.327,10
01773,11.181585,112.623,19
01775,6.607609,13.77,4
01776,6.870117,18915.772,18
01778,7.109827,13770.693,19
01801,13.080119,31755.725,35
01803,10.447083,13955.607,21
01810,9.26329,35559.52,30
01821,9.343709,30793.25,44
01822,11.143355,579.782,4
01824,8.812147,26013.277,37
01826,9.315614,31208.712,45
01827,4.180698,3348.828,8
01830,12.656323,24291.811,24
01831,17.250453,1987.798,3
01832,11.70584,23799.023,18
01833,6.394814,8728.862,16
01834,6.130021,6706.5,7
01835,11.166212,13155.089,9
01840,16.836374,5254.719,9
01841,14.943426,48150.072,47
01842,17.5,995.081,1
01843,14.527037,25467.892,31
01844,11.373638,49986.241,52
01845,10.287291,30589.057,35
01850,14.616862,16246.832,21
01851,15.014941,30609.983,29
01852,14.553103,29540.516,39
01854,13.860255,28907.398,34
01860,8.539614,6946.086,10
01862,8.853321,10510.673,19
01863,11.026877,9101.793,16
01864,6.104275,14.154,2
01865,11.020109,1447.293,6
01867,9.167889,25137.007,31
01876,8.985152,30695.084,41
01879,6.937698,12208.432,13
01880,11.919934,27007.209,44
01886,6.754685,24234.688,28
01887,8.167542,23593.879,22
01890,12.680362,22764.904,35
01901,15.577716,3228.695,19
01902,14.98571,44015.214,52
01903,15.069339,1510.099,2
01904,13.891808,19057.628,35
01905,13.808473,25658.543,33
01906,14.613055,13902.43,21
01907,13.769024,8118.774,17
01908,13.631521,3495,4
01913,10.827764,17311.606,22
01915,14.158784,18904.595,21
01921,5.139485,8338.894,14
01922,5.433935,3516.779,11
01923,9.442591,21346.056,16
01929,9.257542,3654.982,6
01930,12.336601,28986.283,32
01931,18.735891,1075.394,2
01936,5.494996,942.339,3
01938,7.168378,13983.803,24
01940,6.833756,12920.378,15
01944,8.02825,5377.266,7
01945,13.051478,20651.693,28
01949,9.666667,108.583,1
01950,13.050751,18006.113,19
01951,5.457341,3479.872,13
01952,7.456341,5462.525,4
01960,11.512658,36821.895,39
01966,11.287817,7192.056,9
01969,7.191212,6276.332,7
01970,14.147749,42365.311,42
01971,14.027483,814.445,3
01982,6.475842,7247.755,19
01983,8.017905,6418.572,12
01984,5.411933,5082.882,6
01985,5.096085,4579.034,3
02021,9.966215,8929.261,15
02025,7.281043,2.567,4
02026,11.670441,24615.328,35
02027,9.944578,795.386,6
02030,6.227881,6041.117,20
02032,13.537714,4446.844,8
02035,7.299501,17477.994,14
02038,6.775613,17368.299,12
02041,8.814794,1404.752,3
02043,11.548339,15979.046,9
02045,13.754972,10424,8
02048,7.970062,23768.119,21
02050,7.483947,11996.515,15
02051,8.201202,452.733,2
02052,7.353912,12749.737,13
02053,9.453341,5293.522,11
02054,9.562278,5.084,4
02056,7.347102,11766.992,14
02061,6.107687,11123.432,20
02062,11.482883,22642.911,25
02066,7.277806,5178.109,8
02067,6.993162,18188.877,21
02072,10.852926,28701.047,26
02081,9.410431,12259.089,37
02090,8.307684,15810.197,19
02093,6.910533,11634.734,11
02108,16.322336,2899.039,10
02109,16.489664,2268.395,7
02110,17.298158,191.715,2
02111,17.666667,3.497,1
02113,16.244432,6842.78,8
02114,15.523717,8874.934,16
02115,15.4062,26709.929,35
02116,15.783915,12612.317,23
02117,16.403701,1349.718,2
02118,16.60639,14365.384,21
02119,15.807264,26728.443,46
02120,15.272487,12697.598,19
02121,13.911194,29058.303,43
02122,15.37444,24979.052,50
02123,16.24063,646.121,3
02124,14.580971,55390.404,74
02125,15.301283,34817.241,38
02126,13.910362,25026.715,46
02127,15.47783,31831.384,36
02128,14.667639,46941.215,42
02129,15.757865,19398.146,16
02130,14.750739,33919.022,46
02131,14.70318,30846.069,36
02132,14.267702,24366.274,35
02134,14.814885,9906.764,16
02135,14.006127,36741.829,43
02136,14.380209,37764.156,42
02137,14.859192,657.453,2
02138,15.529868,32770.48,38
02139,16.314141,30155.434,49
02140,16.22143,13136.067,26
02141,16.02366,12609.549,18
02142,15.31391,7327.636,7
02143,16.59923,16514.077,31
02144,15.582306,18212.093,22
02145,15.413744,10294.518,30
02148,14.970126,46940.475,65
02149,14.746077,22633.769,32
02150,15.368898,29598.979,22
02151,14.878654,34576.805,31
02152,14.436184,18940,18
02155,14.772453,46766.525,71
02169,14.630095,45475.341,41
02170,15.669634,14363.038,26
02171,14.122743,13931.933,24
02176,14.603737,17288.58,35
02180,11.96332,22064.15,31
02184,13.443273,29367.532,22
02185,13.573102,972.418,3
02186,12.565798,27564.34,41
02188,9.642131,4776.268,15
02189,11.658894,14197.855,21
02190,8.618089,6370.329,6
02191,13.884278,8577.304,15
02199,17.855591,1450.21,2
02210,15.166667,19.545,1
02215,15.655636,16368.44,29
02238,16.144834,1069.482,4
02301,13.744488,48687.957,48
02302,12.399575,30192.501,34
02303,15.027504,2027.707,2
02305,16.257875,1635.129,3
02322,11.473165,4523.531,9
02324,7.670789,16849.285,23
02327,6.707759,1180.806,3
02330,5.587183,11650.525,22
02331,10.070647,2304.416,4
